pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
HD 77946 b,HD 77946,2.89646124,10.9,0.073,0.211,1128.86,413.1008,6007.0,1.3174,1.1973,3.1,F5,2024.0
LHS 1478 b,LHS 1478,1.242,2.33,0.01848,,595.0,23.3722,3381.0,0.246,0.236,,m3 V,2021.0
TOI-5143 c,TOI-5143,16.25302201,,0.05602,,904.48,158.1646,5183.0,0.852,0.864,7.4,K V,2025.0
TOI-815 c,TOI-815,2.62,23.5,0.193,0.22,469.0,8.03,4869.0,0.77,0.776,0.2,K3 V,2024.0
TIC 67686059 b,TIC 67686059,2.59125922,7.23,,,,,5090.09,0.820458,0.86,,,2026.0
WASP-171 b,WASP-171,10.98482,344.52772,0.0504,0.0,1642.0,1200.24,5965.0,1.637,1.171,5.908,G0,2019.0
Kepler-80 c,Kepler-80,2.74,6.74,0.0792,0.0079,495.0,36.482,4540.0,0.678,0.73,2.0,K5,2012.0
HATS-49 b,HATS-49,8.574885,112.19399,0.04515,0.071,834.8,80.45,4405.0,0.6977,0.7133,10.5,,2020.0
EPIC 206317286 b,EPIC 206317286,0.96,0.84,,,,,4752.0,0.669,0.711,,,2019.0
Kepler-925 b,Kepler-925,2.34,6.08,0.1805,0.0,394.0,5.833,4673.0,0.72,0.77,2.57,,2016.0
HD 73267 b,HD 73267,13.0,1321.53051631,2.229,0.261,165.89,0.1577,5387.0,0.909,0.93,8.14,K0 V,2008.0
Kepler-1631 b,Kepler-1631,1.35,2.39,0.0511,0.0,1122.0,446.918,5679.0,0.95,0.97,4.17,,2016.0
Kepler-1893 b,Kepler-1893,1.70557445,3.55,0.0504,0.0,1194.0,478.98,5633.0,1.162,0.973,13.9,,2021.0
KELT-12 b,KELT-12,19.95202,301.9385,0.06708,0.0,1800.0,1749.0,6279.0,2.37,1.591,2.2,,2017.0
HD 63433 b,HD 63433,2.14,21.755,0.072,0.24,967.11,145.5707,5553.0,0.934,0.956,0.414,G5 V,2020.0
HD 72892 b,HD 72892,12.8,1737.88572948,0.228,0.419,634.46,26.9314,5688.0,1.22,1.01,8.0,G5 V,2016.0
Kepler-1139 b,Kepler-1139,1.19,1.81,0.01664,0.0,1693.0,1717.276,5550.0,0.91,0.94,4.47,,2016.0
HD 149806 b,HD 149806,12.3,4003.68444298,12.404,0.357,69.13,0.0037,5352.05,0.89,0.93,8.36,K0V,2022.0
Kepler-231 b,Kepler-231,1.73,35.4,0.074,0.0,488.0,14.879,3767.0,0.49,0.58,3.15,M1 V,2014.0
HD 110082 b,HD 110082,3.2,10.3,0.113,0.2,957.2,198.3948,6200.0,1.19,1.21,0.25,F8 V,2021.0
