pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year,density_proxy,spectral_class,pl_orbeccen_filled,flux_score,temp_score,radius_score,density_score,eccentricity_score,stellar_score,EHS
HD 77946 b,HD 77946,2.89646124,10.9,0.073,0.211,1128.86,413.1008,6007.0,1.3174,1.1973,3.1,F5,2024.0,0.4485628829085953,F,0.211,7.446307452253946e-05,7.153016958667122e-05,0.0067701672159818016,0.38664085345608534,0.7808760184799298,0.75,0.23063864243934584
LHS 1478 b,LHS 1478,1.242,2.33,0.01848,,595.0,23.3722,3381.0,0.246,0.236,,m3 V,2021.0,1.2161611714157938,M,0.0,0.07413562174258796,0.23574607655586352,0.921881223198173,0.9641538365241635,1.0,0.5,0.5214747490388707
TOI-5143 c,TOI-5143,16.25302201,,0.05602,,904.48,158.1646,5183.0,0.852,0.864,7.4,K V,2025.0,,K,0.0,0.0012104294316631556,0.005129211270810357,4.6320405959022143e-141,,1.0,0.9,0.26258716623564204
TOI-815 c,TOI-815,2.62,23.5,0.193,0.22,469.0,8.03,4869.0,0.77,0.776,0.2,K3 V,2024.0,1.3066641875262166,K,0.22,0.3208377462491355,0.5641415972726801,0.02612140985391821,0.9291630592549948,0.7642281651714904,0.9,0.502601160430252
WASP-171 b,WASP-171,10.98482,344.52772,0.0504,0.0,1642.0,1200.24,5965.0,1.637,1.171,5.908,G0,2019.0,0.2599233738133398,G,0.0,1.9083063129508017e-06,3.6014031122636396e-11,7.31661950769374e-61,0.18057584158678314,1.0,1.0,0.26805806124245934
Kepler-80 c,Kepler-80,2.74,6.74,0.0792,0.0079,495.0,36.482,4540.0,0.678,0.73,2.0,K5,2012.0,0.3276485181147823,K,0.0079,0.03374194905191876,0.4867522559599717,0.014920786069067816,0.24349068057636897,0.9996533378789811,0.9,0.36808449751432265
HATS-49 b,HATS-49,8.574885,112.19399,0.04515,0.071,834.8,80.45,4405.0,0.6977,0.7133,10.5,,2020.0,0.1779445455543963,,0.071,0.006453732990897251,0.01496411166921037,2.45367163211215e-35,0.12102024820787996,0.9723829646586595,,0.13405479631555334
Kepler-925 b,Kepler-925,2.34,6.08,0.1805,0.0,394.0,5.833,4673.0,0.72,0.77,2.57,,2016.0,0.4745216228889252,,0.0,0.4427681298214288,0.7854389857403006,0.08258816505811495,0.4219373165183113,1.0,,0.5017543461963193
HD 73267 b,HD 73267,13.0,1321.53051631,2.229,0.261,165.89,0.1577,5387.0,0.909,0.93,8.14,K0 V,2008.0,0.601515938238507,K,0.261,0.40913345591026934,0.9055095987209248,1.3838965267367376e-87,0.6088293062467912,0.684922216309753,0.9,0.5477604359774068
Kepler-1631 b,Kepler-1631,1.35,2.39,0.0511,0.0,1122.0,446.918,5679.0,0.95,0.97,4.17,,2016.0,0.9713966366915612,,0.0,5.799524703845522e-05,8.304628126246746e-05,0.8435476490642344,0.9974465394140569,1.0,,0.4335121080261937
